Make,Model,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg
Audi,100,172,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Wagon,21,16
Audi,100,172,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,22,16
Audi,100,172,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,22,17
Audi,100,172,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,22,16
Audi,100,172,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,21,16
FIAT,124 Spider,160,4,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,35,26
FIAT,124 Spider,160,4,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,35,26
FIAT,124 Spider,160,4,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,35,26
Mercedes-Benz,190-Class,130,4,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,26,18
Mercedes-Benz,190-Class,158,6,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,25,17
Mercedes-Benz,190-Class,158,6,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,25,17
Mercedes-Benz,190-Class,130,4,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,26,18
Mercedes-Benz,190-Class,130,4,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,26,18
Mercedes-Benz,190-Class,158,6,MANUAL,rear wheel drive,4,Luxury,Compact,Sedan,25,17
BMW,2 Series,240,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,35,23
BMW,2 Series,240,4,AUTOMATIC,rear wheel drive,2,Luxury,Compact,Convertible,34,23
BMW,2 Series,320,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,31,20
BMW,2 Series,240,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Compact,Coupe,35,23
BMW,2 Series,240,4,AUTOMATIC,all wheel drive,2,Luxury,Compact,Convertible,34,22
BMW,2 Series,320,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,20
BMW,2 Series,240,4,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,34,22
BMW,2 Series,320,6,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,30,20
BMW,2 Series,320,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,30,20
BMW,2 Series,335,6,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,31,21
BMW,2 Series,335,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21
BMW,2 Series,335,6,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,32,21
BMW,2 Series,335,6,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,32,21
BMW,2 Series,248,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,34,23
BMW,2 Series,248,4,AUTOMATIC,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,35,24
BMW,2 Series,248,4,AUTOMATIC,all wheel drive,2,"Luxury,Performance",Compact,Coupe,33,24
BMW,2 Series,248,4,AUTOMATIC,all wheel drive,2,Luxury,Compact,Convertible,33,23
Audi,200,162,5,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,20,16
Audi,200,162,5,MANUAL,all wheel drive,4,Luxury,Midsize,Wagon,22,15
Audi,200,162,5,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,23,15
Audi,200,217,5,MANUAL,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,22,16
Audi,200,217,5,MANUAL,all wheel drive,4,"Luxury,Performance",Midsize,Wagon,22,16
Audi,200,162,5,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,20,16
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,18
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,36,23
Chrysler,200,295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,18
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,18
Chrysler,200,295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,29,18
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,28,18
Chrysler,200,295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,28,18
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,295,6,AUTOMATIC,all wheel drive,4,"Flex Fuel,Performance",Midsize,Sedan,28,18
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Chrysler,200,184,4,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23
Nissan,200SX,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,36,26
Nissan,200SX,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,36,26
Nissan,200SX,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,29,21
Nissan,200SX,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,29,21
Nissan,200SX,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,35,25
Nissan,200SX,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,35,25
Nissan,200SX,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,35,25
Nissan,200SX,115,4,MANUAL,front wheel drive,2,N/A,Compact,Coupe,35,25
Nissan,200SX,140,4,MANUAL,front wheel drive,2,Performance,Compact,Coupe,28,20
Nissan,240SX,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19
Nissan,240SX,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19
Nissan,240SX,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19
Nissan,240SX,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19
Nissan,240SX,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,26,19
Nissan,240SX,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,25,20
Nissan,240SX,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,25,20
Nissan,240SX,155,4,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,25,20
Volvo,240,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,26,19
Volvo,240,114,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,23,18
Volvo,240,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19
Volvo,240,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19
Volvo,240,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,26,19
Volvo,240,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19
Volvo,240,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Sedan,26,19
Volvo,240,114,4,MANUAL,rear wheel drive,4,Luxury,Midsize,Wagon,25,18
Mazda,2,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29
Mazda,2,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29
Mazda,2,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28
Mazda,2,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28
Mazda,2,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28
Mazda,2,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28
Mazda,2,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29
Mazda,2,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29
Mazda,2,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28
Mazda,2,100,4,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,34,28
Mazda,2,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29
Mazda,2,100,4,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29
BMW,3 Series Gran Turismo,300,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20
BMW,3 Series Gran Turismo,240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22
BMW,3 Series Gran Turismo,240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,22
BMW,3 Series Gran Turismo,240,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,34,22
BMW,3 Series Gran Turismo,300,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20
BMW,3 Series Gran Turismo,320,6,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20
BMW,3 Series Gran Turismo,248,4,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Midsize,4dr Hatchback,33,23
BMW,3 Series,241,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,33,22
BMW,3 Series,335,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance,Hybrid",Midsize,Sedan,33,25
BMW,3 Series,240,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,35,23
BMW,3 Series,300,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,32,21
BMW,3 Series,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,45,32
BMW,3 Series,240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22
BMW,3 Series,240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,22
BMW,3 Series,180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,35,23
BMW,3 Series,300,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,30,20
BMW,3 Series,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Wagon,43,31
BMW,3 Series,240,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,35,23
BMW,3 Series,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,43,31
BMW,3 Series,180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,36,24
BMW,3 Series,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,40,30
BMW,3 Series,320,6,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,33,22
BMW,3 Series,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,42,32
BMW,3 Series,240,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,22
BMW,3 Series,240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,34,22
BMW,3 Series,240,4,MANUAL,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,22
BMW,3 Series,240,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,34,22
BMW,3 Series,180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,36,24
BMW,3 Series,180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,35,23
BMW,3 Series,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Wagon,40,30
BMW,3 Series,320,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,33,22
BMW,3 Series,248,4,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Midsize,Sedan,34,23
BMW,3 Series,180,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,34,23
BMW,3 Series,180,4,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,35,23
BMW,3 Series,248,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,33,23
BMW,3 Series,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Sedan,40,30
BMW,3 Series,248,4,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,33,23
BMW,3 Series,180,4,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,42,32
BMW,3 Series,320,6,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,31,21
BMW,3 Series,320,6,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,32,21
BMW,3 Series,180,4,AUTOMATIC,all wheel drive,4,"Diesel,Luxury",Midsize,Wagon,40,30
Mercedes-Benz,300-Class,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,19,15
Mercedes-Benz,300-Class,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,20,15
Mercedes-Benz,300-Class,158,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,17
Mercedes-Benz,300-Class,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,20,15
Mercedes-Benz,300-Class,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,18,15
Mercedes-Benz,300-Class,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,16
Mercedes-Benz,300-Class,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,19,15
Mercedes-Benz,300-Class,228,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,21,14
Mercedes-Benz,300-Class,217,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,22,15
Mercedes-Benz,300-Class,121,5,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,30,23
Mercedes-Benz,300-Class,121,5,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,29,23
Mercedes-Benz,300-Class,228,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,17,14
Mercedes-Benz,300-Class,228,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,21,15
Mercedes-Benz,300-Class,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,19,15
Mercedes-Benz,300-Class,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Wagon,20,15
Mercedes-Benz,300-Class,217,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,21,15
Mercedes-Benz,300-Class,177,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,16
Mercedes-Benz,300-Class,148,6,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Large,Sedan,22,18
Mercedes-Benz,300-Class,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,18,15
Mercedes-Benz,300-Class,158,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,23,18
Mercedes-Benz,300-Class,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,19,15
Mercedes-Benz,300-Class,217,6,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Coupe,22,17
Mercedes-Benz,300-Class,121,5,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Midsize,Sedan,30,23
Mercedes-Benz,300-Class,228,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,21,14
Mercedes-Benz,300-Class,217,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,22,17
Mercedes-Benz,300-Class,148,6,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Large,Sedan,22,18
Mercedes-Benz,300-Class,177,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,19,15
Mercedes-Benz,300-Class,194,6,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,23,17
Mercedes-Benz,300-Class,228,6,AUTOMATIC,rear wheel drive,4,Luxury,Large,Sedan,18,14
Mitsubishi,3000GT,218,6,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,23,17
Mitsubishi,3000GT,161,6,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,22,17
Mitsubishi,3000GT,320,6,MANUAL,all wheel drive,2,"Hatchback,Factory Tuner,Performance",Compact,2dr Hatchback,22,16
Mitsubishi,3000GT,320,6,MANUAL,all wheel drive,2,"Hatchback,Factory Tuner,Performance",Compact,2dr Hatchback,22,16
Mitsubishi,3000GT,161,6,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,22,17
Mitsubishi,3000GT,218,6,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,23,17
Mitsubishi,3000GT,218,6,MANUAL,front wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,23,17
Mitsubishi,3000GT,320,6,MANUAL,all wheel drive,2,"Hatchback,Factory Tuner,Performance",Compact,2dr Hatchback,22,16
Mitsubishi,3000GT,161,6,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,22,17
Chrysler,300,300,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,292,6,AUTOMATIC,rear wheel drive,4,N/A,Large,Sedan,31,19
Chrysler,300,292,6,AUTOMATIC,rear wheel drive,4,N/A,Large,Sedan,31,19
Chrysler,300,292,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,300,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,31,19
Chrysler,300,292,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,31,19
Chrysler,300,292,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,292,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,300,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,300,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,31,19
Chrysler,300,292,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,292,6,AUTOMATIC,rear wheel drive,4,N/A,Large,Sedan,31,19
Chrysler,300,292,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,292,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,300,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,31,19
Chrysler,300,292,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,31,19
Chrysler,300,292,6,AUTOMATIC,rear wheel drive,4,N/A,Large,Sedan,31,19
Chrysler,300,292,6,AUTOMATIC,rear wheel drive,4,N/A,Large,Sedan,31,19
Chrysler,300,300,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,292,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,292,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,292,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,300,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,292,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,30,19
Chrysler,300,300,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,30,19
Chrysler,300,300,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,292,6,AUTOMATIC,rear wheel drive,4,N/A,Large,Sedan,30,19
Chrysler,300,292,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,30,19
Chrysler,300,292,6,AUTOMATIC,all wheel drive,4,N/A,Large,Sedan,27,18
Chrysler,300,300,6,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,30,19
Chrysler,300M,250,6,AUTOMATIC,front wheel drive,4,Performance,Large,Sedan,24,16
Chrysler,300M,250,6,AUTOMATIC,front wheel drive,4,Performance,Large,Sedan,24,16
Chrysler,300M,255,6,AUTOMATIC,front wheel drive,4,Performance,Large,Sedan,25,16
Chrysler,300M,250,6,AUTOMATIC,front wheel drive,4,Performance,Large,Sedan,25,16
Chrysler,300M,250,6,AUTOMATIC,front wheel drive,4,Performance,Large,Sedan,25,16
Chrysler,300M,255,6,AUTOMATIC,front wheel drive,4,Performance,Large,Sedan,25,16
Nissan,300ZX,222,6,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,22,16
Nissan,300ZX,222,6,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,22,16
Nissan,300ZX,300,6,MANUAL,rear wheel drive,2,"Hatchback,Performance",Compact,2dr Hatchback,22,16
Nissan,300ZX,222,6,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,22,16
Nissan,300ZX,300,6,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,22,16
Nissan,300ZX,222,6,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,22,17
Nissan,300ZX,222,6,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,22,17
Nissan,300ZX,222,6,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,22,17
Nissan,300ZX,300,6,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,22,16
Nissan,300ZX,222,6,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,22,17
Nissan,300ZX,222,6,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,22,17
Nissan,300ZX,222,6,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,22,17
Mazda,323,82,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25
Mazda,323,82,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25
Mazda,323,82,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25
Mazda,323,82,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,32,24
Mazda,323,82,4,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,33,25
Mercedes-Benz,350-Class,134,6,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Large,Sedan,23,19
Mercedes-Benz,350-Class,134,6,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Large,Sedan,23,19
Mercedes-Benz,350-Class,134,6,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Large,Sedan,23,19
Mercedes-Benz,350-Class,134,6,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Large,Sedan,23,19
Nissan,350Z,306,6,AUTOMATIC,rear wheel drive,2,High-Performance,Compact,Convertible,23,17
Nissan,350Z,306,6,AUTOMATIC,rear wheel drive,2,High-Performance,Compact,Convertible,23,17
Nissan,350Z,306,6,AUTOMATIC,rear wheel drive,2,High-Performance,Compact,Coupe,24,17
Nissan,350Z,306,6,AUTOMATIC,rear wheel drive,2,High-Performance,Compact,Coupe,24,17
Nissan,350Z,306,6,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,25,18
