source,f_count,f_sum,f_min,f_max,f_mean,f_median,g_count,g_sum,g_min,g_max,g_mean,g_median,l_count,l_sum,l_min,l_max,l_mean,l_median
Forbes,248.0,0.8109728810525383,8.950147677436678e-05,0.07885080103821714,0.003270051939727977,0.0010740177212924013,286,3.733267716535446,0.0,0.42913385826771655,0.013053383624249812,0.004921259842519685,286,1.4306081313603065,0.0,0.19954771151860773,0.005002126333427645,0.0010815594120249742
New York Times,42.0,0.47928040812673406,0.0,0.10919180166472747,0.011411438288731764,0.004340821623556789,47,0.8976377952755905,0.0,0.24311023622047245,0.01909867649522533,0.004921259842519685,47,1.0499483801189715,0.0,0.17953886239614572,0.02233932723657386,0.02113957032594268
Inc.com,4.0,0.007652376264208359,0.000581759599033384,0.0049225812225901725,0.0019130940660520897,0.0010740177212924013,8,0.10137795275590551,0.000984251968503937,0.02952755905511811,0.012672244094488189,0.008366141732283464,8,0.5163954574504696,0.00039329433164544513,0.15377808367336906,0.0645494321813087,0.05046457892925618
WIRED,23.0,0.3608252036158597,0.0,0.09469256242728005,0.015688052331124334,0.011456189027118948,23,1.6466535433070864,0.0,0.3720472440944882,0.07159363231769941,0.0531496062992126,23,0.3795781918293103,0.0,0.13042623273192075,0.01650339964475262,0.008210019173098668
Telegraph.co.uk,22.0,1.0319072764700616,0.0002685044303231003,1.0,0.04690487620318462,0.0009397655061308512,25,1.1141732283464565,0.0,0.9576771653543307,0.04456692913385826,0.002952755905511811,25,0.2566737131901087,0.0,0.11439948871736887,0.010266948527604347,0.0013273683693033774
International Herald Tribune,2.0,0.09428980578179541,0.015662758435514186,0.07862704734628122,0.047144902890897705,0.047144902890897705,2,0.0,0.0,0.0,0.0,0.0,2,0.15318814217590088,0.039427756747455876,0.11376038542844501,0.07659407108795044,0.07659407108795044
Harvard Business Review,,,,,,,2,0.02854330708661417,0.012795275590551181,0.015748031496062992,0.014271653543307086,0.014271653543307086,2,0.16365960375596086,0.04999754191042722,0.11366206184553365,0.08182980187798043,0.08182980187798043
BBC News,40.0,0.39452250962140867,0.00017900295354873356,0.06672335093529043,0.009863062740535217,0.005258211760494048,43,0.9330708661417321,0.0,0.1781496062992126,0.021699322468412375,0.010826771653543307,43,0.35848778329482317,0.0,0.09271913868541369,0.008336925192902864,0.003490487193353326
Mashable,33.0,0.24125123064530565,0.0004475073838718339,0.043229213282019154,0.00731064335288805,0.004340821623556789,37,0.5708661417322832,0.000984251968503937,0.08956692913385826,0.01542881464141306,0.00984251968503937,37,0.38862396145715533,0.0,0.08824541566294676,0.010503350309652847,0.002458089572784032
Fortune,111.0,0.15532981294191356,0.0,0.008726393985500762,0.0013993676841613835,0.0007160118141949343,121,0.6486220472440938,0.0,0.0344488188976378,0.005360512787141271,0.003937007874015748,121,0.5000737426871835,0.0,0.0848532520525048,0.004132840848654409,0.0013765301607590581
VentureBeat,189.0,0.4395865031773024,0.00013425221516155016,0.03915689608878546,0.002325854514165621,0.0010740177212924013,198,1.8651574803149582,0.0,0.06692913385826772,0.00941998727431797,0.005905511811023622,198,1.009242416793668,4.916179145568064e-05,0.08185438277370827,0.005097183923200343,0.003220097340347082
USA TODAY,29.0,0.04533249798621679,8.950147677436678e-05,0.008010382171305827,0.0015631895857316134,0.0012082699364539516,31,0.19586614173228345,0.0,0.06299212598425197,0.006318262636525272,0.001968503937007874,31,0.1815544958458286,0.0,0.08072366157022762,0.00585659664018802,0.0017698244924045032
Wired News,17.0,0.16620424236999906,0.0022822876577463526,0.03132551687102837,0.009776720139411709,0.008636892508726395,18,1.0206692913385824,0.0,0.3612204724409449,0.056703849518810134,0.024606299212598423,18,0.1994493879356964,0.0005899414974681678,0.08013372007275946,0.011080521551983132,0.0036871343591760486
The Guardian,47.0,0.7270204958381812,0.0,0.11210059965989438,0.015468521188046407,0.0031773024254900207,50,0.9429133858267715,0.0,0.26673228346456695,0.01885826771653543,0.005905511811023622,50,0.20706946561132689,0.0,0.07649574750503908,0.004141389312226538,0.0008849122462022516
Business Insider,349.0,0.7706524657656852,0.0,0.04721202899847848,0.0022081732543429377,0.001163519198066768,381,2.4311023622047294,0.0,0.2874015748031496,0.006380846095025537,0.002952755905511811,381,3.470527506022319,0.0,0.07634826213067204,0.009108996078798738,0.0029988692787965192
The Economist,,,,,,,1,0.04232283464566929,0.04232283464566929,0.04232283464566929,0.04232283464566929,0.04232283464566929,1,0.07374268718352096,0.07374268718352096,0.07374268718352096,0.07374268718352096,0.07374268718352096
Fast Company Magazine,4.0,0.05665443479817417,0.0009397655061308512,0.037411617291685316,0.014163608699543542,0.009151526000179003,6,0.14566929133858267,0.000984251968503937,0.08366141732283465,0.024278215223097113,0.011318897637795276,6,0.14728872720121922,0.0016715009094931418,0.070350523573079,0.024548121200203204,0.018583157170247284
Motley Fool,134.0,0.056922939228497296,0.0,0.0050120826993645395,0.0004247980539440097,0.0003356305379038754,154,0.20472440944881876,0.0,0.03740157480314961,0.0013293792821351866,0.0,154,0.39958704095177233,0.0,0.06995722924143356,0.002594721045141379,0.0010323976205692934
Business Insider via Yahoo! Finance,203.0,0.09728810525373667,0.0,0.020182583012619708,0.0004792517500184072,8.950147677436678e-05,223,0.07578740157480313,0.0,0.011811023622047244,0.00033985381872109026,0.0,223,0.181800304803107,0.0,0.06862986087213017,0.0008152480036013767,0.0
SC Magazine,20.0,0.011053432381634297,0.0,0.002058533965810436,0.0005526716190817148,0.0004027566454846505,22,0.07086614173228346,0.0,0.028543307086614175,0.003221188260558339,0.0014763779527559055,22,0.10112580502433509,4.916179145568064e-05,0.06769578683447225,0.004596627501106141,0.0011061403077528144
The Globe and Mail,8.0,0.012440705271636984,0.0,0.0049225812225901725,0.001555088158954623,0.0014320236283898685,9,0.013779527559055118,0.0,0.007874015748031496,0.0015310586176727908,0.0,9,0.12123297772970847,0.0,0.05982990020156335,0.013470330858856495,4.916179145568064e-05
ZDNet,443.0,0.8658372863152244,0.0,0.10655150809988365,0.0019544859736235314,0.0010740177212924013,479,3.495078740157495,0.0,0.7687007874015748,0.0072966153239196144,0.001968503937007874,479,2.39231109581633,0.0,0.05923995870409518,0.004994386421328455,0.002458089572784032
Financial Times,11.0,0.027476953369730595,8.950147677436678e-05,0.007831379217757093,0.0024979048517936903,0.0017452787971001522,12,0.34645669291338577,0.0,0.2874015748031496,0.02887139107611548,0.002952755905511811,12,0.15259820067843272,0.0002458089572784032,0.059043311538272455,0.012716516723202726,0.007325106926896416
New York Times Finance,3.0,0.08252036158596616,0.004967331960977356,0.06251678152689519,0.027506787195322055,0.015036248098093619,3,0.06692913385826772,0.0,0.058070866141732284,0.022309711286089242,0.008858267716535433,3,0.12442849417432772,0.027825573963915246,0.05869917899808269,0.04147616472477591,0.037903741212329776
Co.Design,7.0,0.049762821086547934,0.0008502640293564844,0.03204152868522331,0.007108974440935419,0.002998299471941287,7,0.12401574803149608,0.005905511811023622,0.04133858267716536,0.01771653543307087,0.013779527559055118,7,0.08426331055503662,0.0007374268718352097,0.05643773659112138,0.01203761579357666,0.0019173098667715452
Recode,1.0,0.0019242817506488856,0.0019242817506488856,0.0019242817506488856,0.0019242817506488856,0.0019242817506488856,6,0.06988188976377951,0.003937007874015748,0.024606299212598427,0.011646981627296585,0.00984251968503937,6,0.13883289907084215,0.0006882650803795291,0.053782999852514626,0.023138816511807023,0.02045130524556315
The Register,286.0,0.5498075718249344,0.0,0.0918732659088875,0.0019224040972899805,0.0006712610758077508,312,3.691929133858278,0.0,0.41633858267716534,0.01183310619826371,0.002952755905511811,312,0.7466692886288776,0.0,0.05245563148321125,0.002393170796887428,0.0009340740376579322
The Next Web,100.0,0.36261523315134697,0.0007160118141949343,0.02470240758972523,0.0036261523315134696,0.002327038396133536,108,1.84547244094488,0.0,0.08070866141732283,0.017087707786526667,0.012795275590551181,108,0.5252937417039477,4.916179145568064e-05,0.04960424757878177,0.004863830941703219,0.003637972567720368
GeekWire,135.0,0.13644500134252205,8.950147677436678e-05,0.04680927235299383,0.0010107037136483114,0.0004922581222590172,146,0.5688976377952749,0.000984251968503937,0.03543307086614173,0.003896559162981335,0.002952755905511811,146,0.5208200186814808,0.0,0.046212083968339805,0.00356726040192795,0.0013273683693033774
Business Insider UK,6.0,0.05862346728721023,0.00017900295354873356,0.05625167815268952,0.009770577881201706,0.0004475073838718338,8,0.19881889763779526,0.0,0.16633858267716536,0.024852362204724407,0.003937007874015748,8,0.07777395408288679,0.0009340740376579322,0.044835553807580746,0.009721744260360848,0.001843567179588024
CNET,152.0,0.7165040723171934,0.0,0.045063993555893675,0.004713842581034167,0.0032444285330707956,171,2.2155511811023643,0.0,0.24114173228346455,0.012956439655569382,0.001968503937007874,171,0.8446487390000487,0.0,0.04449142126739098,0.004939466309941805,0.0009340740376579322
PC World,271.0,0.5836838807840327,0.0,0.02958023807392822,0.002153815058243663,0.001029266982905218,295,1.2312992125984237,0.0,0.051181102362204724,0.00417389563592686,0.001968503937007874,295,0.3086868885502186,0.0,0.043704832604100095,0.0010463962323736223,0.0002458089572784032
Fast Company,14.0,0.035442584802649245,0.0,0.01875055938422984,0.0025316132001892318,0.0003803812762910588,17,0.11122047244094488,0.000984251968503937,0.03937007874015748,0.006542380731820287,0.002952755905511811,17,0.1361290005407797,0.0,0.04227914065188536,0.008007588267104689,0.0007865886632908903
MSPoweruser.com,383.0,0.15380828783674952,0.0,0.012530206748411349,0.0004015882188949074,0.0002685044303231003,505,0.33956692913385783,0.0,0.014763779527559055,0.0006724097606611046,0.0,505,0.21906494272651283,0.0,0.03878865345853203,0.00043379196579507493,4.916179145568064e-05
MyNorthwest.com,1.0,0.004743578269041439,0.004743578269041439,0.004743578269041439,0.004743578269041439,0.004743578269041439,1,0.004921259842519685,0.004921259842519685,0.004921259842519685,0.004921259842519685,0.004921259842519685,1,0.03741212329777297,0.03741212329777297,0.03741212329777297,0.03741212329777297,0.03741212329777297
Reuters,44.0,0.14127808108833795,0.0,0.07585250156627585,0.0032108654792804077,0.0004922581222590173,54,0.3779527559055117,0.0,0.08956692913385826,0.006999125109361327,0.000984251968503937,54,0.1376530160759058,0.0,0.03588810776264687,0.002549129927331589,0.0002212280615505629
Entrepreneur,6.0,0.031415018347802734,0.00017900295354873356,0.02416539872907903,0.005235836391300455,0.0019242817506488858,7,0.07185039370078741,0.0,0.045275590551181105,0.010264341957255344,0.002952755905511811,7,0.053782999852514626,9.832358291136128e-05,0.035298166265178704,0.0076832856932163756,0.0035396489848090063
Slate Magazine,,,,,,,1,0.027559055118110236,0.027559055118110236,0.027559055118110236,0.027559055118110236,0.027559055118110236,1,0.03411828327024237,0.03411828327024237,0.03411828327024237,0.03411828327024237,0.03411828327024237
The New Yorker,,,,,,,1,0.022637795275590553,0.022637795275590553,0.022637795275590553,0.022637795275590553,0.022637795275590553,1,0.03382331252150828,0.03382331252150828,0.03382331252150828,0.03382331252150828,0.03382331252150828
Huffington Post,16.0,0.045332497986216774,0.00017900295354873356,0.012216951579701065,0.0028332811241385484,0.0015439004743578268,21,0.04133858267716535,0.0,0.005905511811023622,0.001968503937007874,0.000984251968503937,21,0.04940760041295904,0.0,0.03303672385821739,0.0023527428768075733,0.0004424561231011258
Quartz,20.0,0.05338763089590978,0.0,0.013962230376801218,0.0026693815447954893,0.0016334019511321937,23,0.10334645669291338,0.0,0.014763779527559055,0.004493324204039712,0.003937007874015748,23,0.10550120446389065,0.0,0.03269259131802763,0.004587008889734376,0.0010815594120249742
MarketWatch,22.0,0.014230734807124317,0.0,0.006130851159044124,0.0006468515821420144,0.0002461290611295086,28,0.02952755905511811,0.0,0.012795275590551181,0.0010545556805399326,0.0,28,0.04562214247087164,0.0,0.030627796076889043,0.0016293622311025584,7.374268718352096e-05
CIO,97.0,0.04757003490557594,0.0,0.006802112234851875,0.0004904127309853189,0.00017900295354873356,108,0.24114173228346444,0.0,0.03346456692913386,0.0022327938174394857,0.0,108,0.17958802418760128,0.0,0.03057863428543336,0.001662852075811123,0.0002458089572784032
Washington Business Journal,2.0,0.024747158328112414,0.0005370088606462006,0.024210149467466212,0.012373579164056207,0.012373579164056207,2,0.001968503937007874,0.0,0.001968503937007874,0.000984251968503937,0.000984251968503937,2,0.031119413991445848,0.0005407797060124871,0.03057863428543336,0.015559706995722924,0.015559706995722924
Ars Technica,68.0,0.3456547033026044,0.0004922581222590172,0.05835496285688714,0.005083157401508888,0.003132551687102837,76,2.5393700787401587,0.0,0.2588582677165354,0.03341276419394946,0.021653543307086614,76,0.22786490339707982,0.0,0.02905461875030726,0.0029982224131194714,0.0010569785162971338
American Banker,1.0,0.000581759599033384,0.000581759599033384,0.000581759599033384,0.000581759599033384,0.000581759599033384,1,0.010826771653543307,0.010826771653543307,0.010826771653543307,0.010826771653543307,0.010826771653543307,1,0.028071382921193648,0.028071382921193648,0.028071382921193648,0.028071382921193648,0.028071382921193648
MIT Technology Review,4.0,0.06189027118947463,0.0028192965183925535,0.05088158954622751,0.015472567797368657,0.0040946925624272806,7,0.10826771653543307,0.001968503937007874,0.0610236220472441,0.01546681664791901,0.004921259842519685,7,0.08436163413794799,0.0032938400275306034,0.02728479425790276,0.012051662019706855,0.009684872916769087
Vox,1.0,0.022554372147140428,0.022554372147140428,0.022554372147140428,0.022554372147140428,0.022554372147140428,2,0.07381889763779528,0.018700787401574805,0.05511811023622047,0.03690944881889764,0.03690944881889764,2,0.043704832604100095,0.018337348212968882,0.025367484391131213,0.021852416302050048,0.021852416302050048
Los Angeles Times,13.0,0.021480354425848027,0.0002685044303231003,0.010919180166472748,0.0016523349558344635,0.0009397655061308512,18,0.01968503937007874,0.0,0.003937007874015748,0.0010936132983377078,0.0,18,0.056437736591121376,0.0,0.02512167543385281,0.0031354298106178544,0.0
InfoWorld,149.0,0.12973239058444458,0.0,0.01861630716906829,0.0008706871851305005,0.0004027566454846505,162,0.7824803149606293,0.0,0.10039370078740158,0.004830125400991539,0.001968503937007874,162,0.22609507890467517,0.0,0.024482572144928962,0.0013956486352140443,0.0005899414974681678
PCWorld,113.0,0.24066947104627237,0.0,0.03848563501297771,0.0021298183278431184,0.0010740177212924013,124,0.5885826771653538,0.0,0.08366141732283465,0.0047466344932689825,0.001968503937007874,124,0.10736935253920649,0.0,0.024285924979106237,0.0008658818753161814,0.0002949707487340839
Data Center Knowledge,9.0,0.0048330797458158055,0.00017900295354873356,0.0009845162445180345,0.0005370088606462006,0.0005370088606462006,9,0.05216535433070866,0.000984251968503937,0.012795275590551181,0.005796150481189851,0.003937007874015748,9,0.05869917899808269,0.0010323976205692934,0.02418760139619488,0.006522130999786966,0.004178752273732855
Business Wire (press release),84.0,0.006444106327754409,0.0,0.0009845162445180345,7.671555152088583e-05,4.475073838718339e-05,94,0.017716535433070866,0.0,0.002952755905511811,0.00018847378120288155,0.0,94,0.15844845386165868,0.0,0.02369598348163807,0.0016856218495921137,0.0006882650803795291
Lifehacker,14.0,0.2088516960529849,0.0014320236283898685,0.06153226528237716,0.014917978289498922,0.008838270831468719,17,0.6692913385826771,0.001968503937007874,0.08759842519685039,0.03937007874015747,0.03937007874015748,17,0.08190354456516395,0.00014748537436704194,0.023204365567081265,0.004817855562656703,0.0030971928617078807
Military.com,1.0,0.0015662758435514186,0.0015662758435514186,0.0015662758435514186,0.0015662758435514186,0.0015662758435514186,1,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,0.000984251968503937,1,0.022958556609802862,0.022958556609802862,0.022958556609802862,0.022958556609802862,0.022958556609802862
The Seattle Times,52.0,0.09854112592857779,0.0,0.03776962319878278,0.00189502165247265,0.0003580059070974671,57,0.13484251968503932,0.0,0.028543307086614175,0.0023656582400884093,0.0,57,0.07025219999016763,0.0,0.02281107123543582,0.0012324947366696075,0.00019664716582272257
Re/code,23.0,0.04246845072943704,0.0004027566454846505,0.0056833437751722905,0.001846454379540741,0.0009397655061308512,23,0.45964566929133854,0.0,0.24606299212598426,0.019984594317014718,0.003937007874015748,23,0.1392261934024876,0.0002458089572784032,0.022614424069613098,0.006053312756629896,0.0039329433164544516
Adweek,2.0,0.07943256063725052,0.023807392821981563,0.05562516781526895,0.03971628031862526,0.03971628031862526,2,0.027559055118110236,0.005905511811023622,0.021653543307086614,0.013779527559055118,0.013779527559055118,2,0.032938400275306035,0.01056978516297134,0.022368615112334695,0.016469200137653017,0.016469200137653017
Yahoo News,39.0,0.015170500313255168,0.0,0.003311554640651571,0.0003889871875193633,0.00017900295354873356,44,0.02854330708661417,0.0,0.004921259842519685,0.0006487115246957766,0.0,44,0.03519984268226734,0.0,0.022270291529423333,0.000799996424596985,0.0
Seattle Times,87.0,0.04296070885169605,0.0,0.006846862973239058,0.0004938012511689201,0.00013425221516155016,98,0.1446850393700787,0.0,0.01673228346456693,0.001476377952755905,0.0,98,0.10471461580059976,0.0,0.02222112973796765,0.001068516487761222,0.00019664716582272257
The Drum,13.0,0.004743578269041439,0.0,0.0012530206748411349,0.0003648906360801107,8.950147677436678e-05,19,0.00984251968503937,0.0,0.001968503937007874,0.0005180273518441774,0.0,19,0.1013224521901578,0.0,0.02217196794651197,0.005332760641587253,0.002900545695885158
Irish Independent,15.0,0.004117067931620872,0.0,0.001387272890002685,0.00027447119544139146,0.00013425221516155016,16,0.016732283464566927,0.0,0.010826771653543307,0.001045767716535433,0.0,16,0.0424266260262524,0.0,0.021631188240499484,0.002651664126640775,4.916179145568064e-05
CNN,2.0,0.0145439899758346,0.004519824577105523,0.010024165398729079,0.0072719949879173,0.0072719949879173,3,0.011811023622047244,0.0,0.005905511811023622,0.003937007874015748,0.005905511811023622,3,0.03839535912688658,0.0,0.02153286465758812,0.012798453042295528,0.01686249446929846
Neowin,255.0,0.1614606641009578,0.0,0.009263402846146962,0.0006331790749057168,0.0003580059070974671,275,0.7952755905511807,0.0,0.25098425196850394,0.0028919112383679296,0.0,275,0.11307212034806553,0.0,0.02113957032594268,0.0004111713467202383,4.916179145568064e-05
TechWeekEurope UK,15.0,0.0042513201467824216,0.0,0.0012530206748411349,0.0002834213431188281,0.00013425221516155016,16,0.01968503937007874,0.0,0.002952755905511811,0.0012303149606299212,0.000984251968503937,16,0.028464677252839098,4.916179145568064e-05,0.020549628828474508,0.0017790423283024436,0.0003195516444619242
The Intercept,2.0,0.07419672424595006,0.02429965094424058,0.04989707330170948,0.03709836212297503,0.03709836212297503,2,0.5137795275590551,0.017716535433070866,0.49606299212598426,0.25688976377952755,0.25688976377952755,2,0.020352981662651787,0.00034413254018976453,0.020008849122462022,0.010176490831325893,0.010176490831325893
SiliconANGLE,71.0,0.007294370357110897,0.0,0.0004922581222590172,0.00010273761066353375,8.950147677436678e-05,81,0.04527559055118108,0.0,0.004921259842519685,0.0005589579080392726,0.0,81,0.05722432525441225,0.0,0.0198122019566393,0.0007064731512890401,9.832358291136128e-05
TechRepublic,36.0,0.04842029893493242,0.00022375369193591694,0.008413138816790478,0.0013450083037481228,0.0008502640293564844,40,0.26181102362204717,0.0,0.025590551181102362,0.006545275590551179,0.004921259842519685,40,0.1191190206971142,9.832358291136128e-05,0.01912393687625977,0.0029779755174278552,0.0021631188240499484
IT PRO,22.0,0.1541215430054596,0.0,0.029759241027476954,0.007005524682066346,0.000290879799516692,24,0.02755905511811023,0.0,0.004921259842519685,0.001148293963254593,0.0004921259842519685,24,0.04399980335283418,0.0,0.01892728971043705,0.0018333251397014243,0.0
New York Times (blog),1.0,0.0057728452519466575,0.0057728452519466575,0.0057728452519466575,0.0057728452519466575,0.0057728452519466575,1,0.013779527559055118,0.013779527559055118,0.013779527559055118,0.013779527559055118,0.013779527559055118,1,0.017747406715500715,0.017747406715500715,0.017747406715500715,0.017747406715500715,0.017747406715500715
eWeek,132.0,0.05240311465139177,0.0,0.0019242817506488856,0.000396993292813574,0.0003132551687102837,138,0.24114173228346433,0.0,0.011811023622047244,0.0017474038571265531,0.000984251968503937,138,0.20716778919423806,4.916179145568064e-05,0.01755075954967799,0.0015012158637263628,0.00076200776756305
ZDNet UK,33.0,0.05320862794236105,0.0003132551687102837,0.008860646200662311,0.0016123826649200319,0.0012530206748411349,34,0.027559055118110236,0.0,0.010826771653543307,0.000810560444650301,0.0,34,0.19089523622240792,0.0,0.01755075954967799,0.005614565771247292,0.004227914065188536
CRN Australia,10.0,0.0012530206748411349,0.0,0.0004922581222590172,0.0001253020674841135,6.712610758077508e-05,10,0.003937007874015748,0.0,0.001968503937007874,0.0003937007874015748,0.0,10,0.05270144044048965,4.916179145568064e-05,0.01735411238385527,0.005270144044048965,0.003293840027530603
Digital Trends,90.0,0.08538440884274597,0.00013425221516155016,0.011903696410990781,0.0009487156538082885,0.0005593842298397924,99,0.24803149606299196,0.0,0.0265748031496063,0.002505368647100929,0.001968503937007874,99,0.061599724693967864,0.0,0.017304950592399587,0.0006222194413532107,0.0002458089572784032
CMSWire,18.0,0.006399355589367224,0.0,0.004161818670008055,0.0003555197549648458,0.00013425221516155016,18,0.04330708661417322,0.0,0.006889763779527559,0.0024059492563429565,0.000984251968503937,18,0.04129590482277174,0.0002949707487340839,0.016960818052209822,0.00229421693459843,0.0008603313504744112
Technology Review,2.0,0.01982457710552224,0.004609326053879889,0.015215251051642353,0.00991228855276112,0.00991228855276112,2,0.0826771653543307,0.008858267716535433,0.07381889763779527,0.04133858267716535,0.04133858267716535,2,0.019468069416449532,0.002605574947151074,0.01686249446929846,0.009734034708224766,0.009734034708224766
Seeking Alpha,93.0,0.01830305200035801,0.0,0.0007160118141949343,0.00019680701075653774,0.00013425221516155016,100,0.0856299212598425,0.0,0.006889763779527559,0.000856299212598425,0.0,100,0.07693820362814022,0.0,0.01666584730347574,0.0007693820362814021,0.00019664716582272257
SiliconANGLE (blog),42.0,0.00760762552582118,0.0,0.002729795041618187,0.00018113394109098047,8.950147677436678e-05,50,0.026574803149606294,0.0,0.002952755905511811,0.0005314960629921258,0.0,50,0.0630254166461826,0.0,0.01607590580600757,0.0012605083329236518,0.0004178752273732855
ArcticStartup,1.0,0.000581759599033384,0.000581759599033384,0.000581759599033384,0.000581759599033384,0.000581759599033384,1,0.025590551181102362,0.025590551181102362,0.025590551181102362,0.025590551181102362,0.025590551181102362,1,0.015731773265817806,0.015731773265817806,0.015731773265817806,0.015731773265817806,0.015731773265817806
Search Engine Land,4.0,0.027029445985858765,0.004296070885169605,0.012619708225185716,0.006757361496464691,0.005056833437751722,4,0.22539370078740156,0.0344488188976378,0.10433070866141732,0.05634842519685039,0.04330708661417323,4,0.03716631434049457,0.003146354653163561,0.015338478934172362,0.009291578585123642,0.009340740376579322
The Economic Times,5.0,0.0012530206748411349,4.475073838718339e-05,0.0007607625525821177,0.000250604134968227,0.00017900295354873356,6,0.001968503937007874,0.0,0.001968503937007874,0.00032808398950131233,0.0,6,0.015780935057273487,0.0,0.01528931714271668,0.0026301558428789146,4.916179145568064e-05
Finextra (press release),9.0,0.0008502640293564844,0.0,0.0002685044303231003,9.447378103960937e-05,4.475073838718339e-05,9,0.001968503937007874,0.0,0.001968503937007874,0.00021872265966754156,0.0,9,0.027481441423725484,0.0,0.015043508185438278,0.0030534934915250537,0.0013765301607590581
ENGINEERING.com,4.0,0.0004922581222590172,0.0,0.00022375369193591694,0.0001230645305647543,0.00013425221516155016,4,0.001968503937007874,0.0,0.000984251968503937,0.0004921259842519685,0.0004921259842519685,4,0.022516100486701735,0.00034413254018976453,0.014896022811071236,0.005629025121675434,0.003637972567720368
CoinDesk,15.0,0.044661236910409026,4.475073838718339e-05,0.012619708225185716,0.0029774157940272686,0.0023717891345207197,16,0.1860236220472441,0.002952755905511811,0.024606299212598427,0.011626476377952756,0.008858267716535433,16,0.08962194582370582,0.0002458089572784032,0.014650213853792832,0.005601371613981614,0.004178752273732855
Variety,1.0,0.0004027566454846505,0.0004027566454846505,0.0004027566454846505,0.0004027566454846505,0.0004027566454846505,2,0.001968503937007874,0.0,0.001968503937007874,0.000984251968503937,0.000984251968503937,2,0.014896022811071235,0.0002458089572784032,0.014650213853792832,0.007448011405535617,0.007448011405535617
PRWeek,1.0,0.0022375369193591696,0.0022375369193591696,0.0022375369193591696,0.0022375369193591696,0.0022375369193591696,1,0.004921259842519685,0.004921259842519685,0.004921259842519685,0.004921259842519685,0.004921259842519685,1,0.014650213853792832,0.014650213853792832,0.014650213853792832,0.014650213853792832,0.014650213853792832
Marketing Land,5.0,0.011858945672603597,0.001029266982905218,0.005191085652913273,0.0023717891345207192,0.0017005280587129687,5,0.049212598425196846,0.004921259842519685,0.01673228346456693,0.00984251968503937,0.008858267716535433,5,0.024777542893663042,0.0013273683693033774,0.01460105206233715,0.004955508578732609,0.0016223391180374613
CNNMoney,14.0,0.13693725946478114,0.0,0.06323279334109012,0.009781232818912938,0.005034458068558132,15,0.07874015748031495,0.0,0.022637795275590553,0.0052493438320209964,0.002952755905511811,15,0.06115726857086673,0.0,0.014551890270881471,0.004077151238057782,0.003490487193353326
